col_date,col_prix,col_carburant,col_adresse,col_ville,col_code_postal,col_region,col_latitude,col_longitude,col_source,col_date_collecte
2024-01-24 00:00:00,1.796,3.77,3.94,Lyon,3.84,Grand Est,46.727223,0.608812,SNCF_Open_Data,2024-06-25 00:00:00
2024-04-01 00:00:00,1.834,7.3,4.71,Marseille,6.0,Provence-Alpes-Côte d'Azur,51.04959,4.652125,SNCF_Open_Data,2024-04-27 00:00:00
2024-02-07 00:00:00,1.705,2.64,7.77,Nice,6.24,Pays de la Loire,49.837917,1.20636,Airparif,2024-02-15 00:00:00
2024-07-04 00:00:00,1.832,1.5,6.65,Nantes,6.87,Pays de la Loire,46.285249,1.860557,RATP_Open_Data_2024,2024-11-05 00:00:00
2024-11-06 00:00:00,1.97,1.73,4.65,Nantes,6.74,Bretagne,45.61759,-0.898258,Météo-France,2024-08-13 00:00:00
2024-01-05 00:00:00,1.955,2.64,5.65,Marseille,2.74,Nouvelle-Aquitaine,46.654009,-1.379798,Airparif,2024-09-04 00:00:00
2024-07-19 00:00:00,1.711,7.28,1.83,Lille,4.77,Provence-Alpes-Côte d'Azur,46.266781,5.331412,Data.gouv.fr,2024-10-12 00:00:00
2024-09-17 00:00:00,1.937,7.37,6.28,Nantes,3.77,Île-de-France,45.893332,0.235554,Airparif,2024-12-04 00:00:00
2024-07-13 00:00:00,1.791,6.13,3.48,Nice,8.17,Île-de-France,50.144108,-0.516996,Data.gouv.fr,2024-08-12 00:00:00
2024-03-28 00:00:00,1.717,1.99,7.22,Lille,5.15,Pays de la Loire,46.924431,0.253741,Data.gouv.fr,2024-05-13 00:00:00
2024-01-07 00:00:00,1.987,2.67,5.23,Marseille,5.48,Pays de la Loire,46.033656,1.269291,SNCF_Open_Data,2024-07-09 00:00:00
2024-07-21 00:00:00,1.918,3.52,8.66,Montpellier,5.87,Auvergne-Rhône-Alpes,47.034077,4.752702,Airparif,2024-06-11 00:00:00
2024-06-05 00:00:00,1.692,7.62,3.85,Marseille,5.93,Auvergne-Rhône-Alpes,46.683596,5.333347,Météo-France,2024-04-20 00:00:00
2024-12-06 00:00:00,1.865,1.29,4.2,Lille,2.27,Île-de-France,49.753023,1.539063,SNCF_Open_Data,2024-12-26 00:00:00
2024-04-08 00:00:00,1.784,1.29,7.67,Toulouse,2.52,Pays de la Loire,46.756144,2.566305,Météo-France,2024-09-26 00:00:00
2024-05-26 00:00:00,1.741,7.86,4.52,Lille,6.48,Normandie,51.413184,-0.2375,Airparif,2024-04-09 00:00:00
2024-08-15 00:00:00,1.772,1.3,4.4,Toulouse,6.11,Nouvelle-Aquitaine,46.342886,-0.947222,Météo-France,2024-04-08 00:00:00
2024-02-26 00:00:00,1.807,2.24,5.32,Marseille,5.82,Provence-Alpes-Côte d'Azur,49.72258,3.941805,SNCF_Open_Data,2024-09-12 00:00:00
2024-12-03 00:00:00,1.98,2.67,1.23,Marseille,3.19,Grand Est,51.564707,4.141554,SNCF_Open_Data,2024-09-17 00:00:00
2024-07-01 00:00:00,1.965,1.99,3.67,Nantes,1.64,Normandie,52.184455,-0.667785,Airparif,2024-04-20 00:00:00
2024-11-12 00:00:00,1.901,7.61,4.81,Strasbourg,4.54,Occitanie,49.385332,0.818159,RATP_Open_Data_2024,2024-05-28 00:00:00
2024-03-09 00:00:00,1.765,8.2,7.15,Bordeaux,1.3,Bretagne,45.824127,1.028743,Airparif,2024-02-18 00:00:00
2024-10-11 00:00:00,1.806,2.38,3.33,Bordeaux,6.68,Île-de-France,48.246976,1.031211,Météo-France,2024-12-22 00:00:00
2024-05-02 00:00:00,1.771,4.55,4.7,Strasbourg,4.26,Pays de la Loire,52.243881,-0.403613,Data.gouv.fr,2024-05-30 00:00:00
2024-11-01 00:00:00,1.911,2.19,4.39,Strasbourg,7.99,Nouvelle-Aquitaine,51.751106,-1.368237,SNCF_Open_Data,2024-07-31 00:00:00
2024-04-13 00:00:00,1.856,8.64,4.28,Montpellier,7.34,Pays de la Loire,46.064713,4.778975,Airparif,2024-05-23 00:00:00
2024-11-22 00:00:00,1.866,5.26,2.9,Toulouse,3.32,Île-de-France,50.77967,2.621076,Data.gouv.fr,2024-02-26 00:00:00
2024-01-11 00:00:00,1.827,4.65,4.57,Marseille,3.44,Auvergne-Rhône-Alpes,47.555256,4.695899,SNCF_Open_Data,2024-03-16 00:00:00
2024-01-05 00:00:00,1.939,8.09,6.01,Lyon,7.45,Auvergne-Rhône-Alpes,49.558085,-0.439793,Météo-France,2024-02-29 00:00:00
